item	itemLabel
Q1126999	Conrad Selvig
Q1128022	Constantine B. Kilgore
Q1128030	Constantine C. Esty
Q1128039	Constantine Jacob Erdman
Q11310736	John Cadwalader
Q1132872	Corinne Boyd Riley
Q1133170	Robert William Wilcox
Q1133714	Cornelius A. Cadmus
Q1133718	Cornelius Augustine McGlennon
Q1133781	Cornelius Edward Gallagher
Q1133832	Cornelius Holland
Q113446	W. Pat Jennings
Q113450	Homer Hoch
Q1135774	Cory Gardner
Q113671	Luman Hamlin Weller
Q1137812	Courtland C. Gillen
Q1137815	Courtland C. Matson
Q1137860	Courtney W. Campbell
Q1137861	Courtney W. Hamlin
Q1138296	Coya Knutson
Q1138504	Craig Washington
Q1138566	Craig Hosmer
Q1138576	Craig L. Thomas
Q113955	Virginia D. Smith
Q1143439	Cullen Sawtelle
Q1145362	Curt Weldon
Q1145545	Curtis Coe Bean
Q1145579	Curtis H. Castle
Q1145987	Don B. Colton
Q11464885	Francis Celeste Le Blond
Q11465643	Charles N. Lamison
Q1146649	Elizabeth Hawley Gasque
Q1147659	Samuel Davis
Q1148489	Cyrenus Cole
Q1148898	Cyrus A. Sulloway
Q1148906	Cyrus Aldrich
Q1148917	Cyrus C. Carpenter
Q1148963	Cyrus King
Q1148969	Cyrus L. Dunham
Q1148999	William Ruffin Cox
Q1149500	Howard M. Baldrige
Q1150071	Horace B. Strait
Q1151173	Horace Mann
Q1151391	D. Bailey Merrill
Q1151450	D. Wyatt Aiken
Q1153232	Lemuel Jenkins
Q1153271	George O. Belden
Q1153282	Charles G. DeWitt
Q1156088	William Adams Walker
Q1156093	William Nelson
Q1156097	Abraham P. Stephens
Q1156101	Joseph H. Anderson
Q1156112	Charles Bodle
Q1156137	Vincent Luke Palmisano
Q1156145	Edward Alexander Garmatz
Q1156152	Thomas D'Alesandro, Jr.
Q1156159	John Boynton Philip Clayton Hill
Q1156166	Charles Pearce Coady
Q1156296	John C. Brodhead
Q1156333	George Konig
Q1156337	Nicholas Sickles
Q1156344	John Kronmiller
Q1156349	Rufus Palen
Q1157856	Dale Milford
Q1157945	Dalip Singh Saund
Q1158992	Dan Benishek
Q1159044	Dan Daniel
Q1159100	Dan Kuykendall
Q1159112	Dan Maffei
Q1159125	Dan Miller
Q1159184	Dan V. Stephens
Q11595	John Adair
Q1159861	Dan Mica
Q1159987	Daniel Azro Ashley Buck
Q1159998	Daniel B. Wright
Q1160165	Daniel Breck
Q1160178	Daniel Brewster
Q1160224	Daniel Burrows
Q1160247	Daniel C. Verplanck
Q1160328	Daniel Chipman
Q1160354	Daniel Coleman DeJarnette, Sr.
Q1160423	Daniel Dee Burnes
Q1160442	Daniel Dewey
Q1160497	Daniel E. Button
Q1160503	Daniel E. Garrett
Q1160525	Daniel E. Somes
Q1160530	Daniel Sickles
Q1160550	Daniel Elliott Huger
Q1160610	Daniel F. Miller
Q1160617	Daniel Francis Minahan
Q1160809	Daniel Garrison
Q1161000	Daniel H. Sumner
Q1161029	Daniel Hamburg
Q1161182	Daniel Huger
Q1161198	Daniel Ilsley
Q1161212	Daniel J. McGillicuddy
Q1161339	Daniel Kerr
Q1161348	Daniel Kilgore
Q1161503	Daniel Laurens Barringer
Q1161582	Daniel Linn Gooch
Q1161618	Daniel Mace
Q1161671	Daniel Marcy
Q1161747	Daniel Meserve Durell
Q1161815	Daniel Moreau Barringer
Q1161838	Daniel Munroe Forney
Q1161895	Daniel Newnan
Q1162010	Daniel P. King
Q1162145	Daniel Polsley
Q1162230	Dan R. McGehee
Q1162274	Daniel Read Anthony, Jr.
Q1162455	Daniel S. Earhart
Q1162522	Daniel Schaefer
Q116257	Albert E. Austin
Q1162695	Daniel Sheffey
Q1162848	Daniel Sutherland
Q1163029	Daniel W. Gooch
Q1163040	Daniel W. Waugh
Q1163099	Daniel Webster
Q1163104	Daniel Webster Comstock
Q116428	William B. Campbell
Q1164482	Dannite H. Mays
Q116462	Helen Gahagan Douglas
Q1164657	Danny K. Davis
Q1164977	Dante Fascell
Q1166592	Darrell Issa
Q11669	Mark Sanford
Q1166913	Darwin Hall
Q1167064	Jeremiah Norman Williams
Q11672	Carroll A. Campbell, Jr.
Q1167502	Richard Henry Norton
Q1167598	Frank Plumley
Q1167934	Joaquín Castro
Q1168008	William Henry Harrison Stowell
Q1168954	Marion Cannon
Q116897	Owen A. Wells
Q1169404	Jesse Speight
Q1169892	David Delano Glover
Q1169901	James Overstreet
Q1170156	Pete Geren
Q11702	John Boehner
Q1170494	John Joseph Mitchell
Q11706948	Nelson E. Matthews
Q1170879	Samuel Hoar
Q1171004	Robert L. McHatton
Q1171061	James Tallmadge, Jr.
Q1173186	Dave E. Satterfield, Jr.
Q1173285	Dave McCurdy
Q1173500	David A. De Armond
Q1173548	David Alexander Nunn
Q1173603	David Atwood
Q1173614	David B. Culberson
Q1173652	David Barker, Jr.
Q1173837	David Bronson
Q1173839	David Brooks
Q1174031	David Cobb
Q1174126	David Curson
Q1174133	David D. Aitken
Q1174149	David Daniel Marriott
Q1174175	David Davis
Q1174227	David Dickson
Q1174229	David D. Terry
Q1174271	David E. Bonior
Q1174278	David E. Finley
Q1174289	David E. Satterfield III
Q1174381	David F. Emery
Q1174434	David Fisher
Q1174484	David Funderburk
Q1174513	David Gardiner Tyler
Q1174586	David Grant Colson
Q1174643	David H. Patton
Q1174663	David Hammons
Q1174694	David Hayes Kincheloe
Q1174701	David Heaton
Q1174718	David Henry Mercer
Q1174730	David Highbaugh Smith
Q1174748	David Hogg
Q1174754	David Hollingsworth
Q1174770	David Hough
Q1174781	David Hubbard
Q1174829	David J. Foster
Q1174847	David Jackson Bailey
Q1174870	David Jenkins Ward
Q1174979	David Kidder
Q1175392	David M. McIntosh
Q1175604	David McKee Hall
Q1175610	David McKinley
Q1175651	David Meriwether
Q1175694	David Minge
Q1175844	David N. Henderson
Q1175997	David Outlaw
Q1176021	David P. Holloway
Q1176063	David Patterson Dyer
Q1176087	David Perley Lowe
Q1176146	David Plant
Q1176239	David R. Nagle
Q1176242	David R. Paige
Q1176279	David Rea
Q1176340	David Rivera
Q1176375	David Rogerson Williams
Q1176427	David Rumsey
Q1176463	David S. King
Q1176464	David S. Mann
Q1176473	David S. Walbridge
Q1176561	David Schweikert
Q1176676	David Smith Monson
Q1176745	David Stockman
Q1176767	David Stuart
Q1176801	David T. Disney
Q1176803	David Martin
Q117687	Oren Harris
Q1176881	David Towell
Q1176900	David Trimble
Q1177014	David W. Dickinson
Q1177015	David W. Dennis
Q1177017	David W. Evans
Q1177051	David Walker
Q1177056	David Wallace
Q1177150	David White
Q1177266	David Worth Clark
Q11774450	John Bell
Q1178875	Dawson Mathis
Q1179207	Dayton Edward Phillips
Q1179688	Dewitt C. Leach
Q1180513	De Witt C. Flanagan
Q1180519	Dewitt Clinton Giddings
Q1181077	Dean Gallo
Q1181099	Dean M. Gillespie
Q11813	James Madison
Q11816	John Quincy Adams
Q11817	Andrew Jackson
Q1183791	Del M. Clawson
Q118414	Seaton Grantland
Q118447	Harold M. Ryan
Q1184601	Delos R. Ashley
Q11860005	Fred B. Rooney
Q11862397	Herman Badillo
Q11869	William Henry Harrison
Q11880937	Mario Biaggi
Q11881	John Tyler
Q1188940	Dennis A. Ross
Q1189097	Dennis E. Eckart
Q11891	James K. Polk
Q1189328	Dennis M. Hertel
Q1189356	Dennis McCarthy
Q1189525	Dennis Smelt
Q1189683	Denny Smith
Q1189686	Denny Rehberg
Q1189965	Denver David Hargis
Q1189994	Denver S. Church
Q1192923	P. Henry Dugro
Q1192938	Lloyd Stephens Bryce
Q1192942	Thomas J. Creamer
Q1192956	Hervey Chittenden Calkin
Q1192972	John Winthrop Chanler
Q1192978	John H. G. Vehslage
Q1192995	Edwin Einstein
Q1193003	Edward J. Dunphy
Q1193094	Smith Ely
Q119323	Joshua Reed Giddings
Q1193410	John J. Adams
Q1193423	Thomas Child
Q1194576	Fisher Ames
Q119647	William O. Barnard
Q120055	William Prince
Q1203647	George Baer
Q1203664	Thomas Sprigg
Q1203736	Samuel Sterett
Q1203858	Daniel Hiester
Q1203876	Montague Lessler
Q1203885	Franklin Bartlett
Q1203900	Roger Nelson
Q120455	Joe Knollenberg
Q12057604	Lucien J. Fenton
Q12060587	James Randolph Hubbell
Q120613	Martin Emerich
Q12061544	John A. McDowell
Q120699	Alphonzo E. Bell, Jr.
Q12069961	J. William Stanton
Q1207127	Dewey Johnson
Q1207129	Dewey Jackson Short
Q1209631	Dick Chrysler
Q1209677	Dick Gephardt
Q1209758	Dick Nichols
Q1209801	Dick Thompson Morgan
Q1209858	Richard Zimmer
Q12127326	Joseph J. McDowell
Q12200803	James J. Winans
Q12252422	James D. Post
Q12252629	Walter L. Weaver
Q122580	Samuel E. Cook
Q1228083	Hamilton Fish II
Q122832	Lawrence Henry Smith
Q1228596	John Jacob Riley
Q1228837	Edward R. Burke
Q1229162	Jesse Burr Strode
Q122934	George R. Riddle
Q1229433	Hamilton G. Ewart
Q1229434	Elton Watkins
Q1229843	Newton Nash Clements
Q12306	Millard Fillmore
Q1230827	William J. Hughes
Q12312	Franklin Pierce
Q1231705	Dixie Gilmer
Q123223	William Porcher Miles
Q1232384	Raymond F. Clevenger
Q1232464	Gerry Sikorski
Q12325	James Buchanan
Q1232585	James Nicholas Kehoe
Q1232723	John G. Otis
Q1233399	Laurence M. Keitt
Q1234572	Alan Mollohan
Q1234807	Guy T. Helvering
Q1235731	Mick Mulvaney
Q1236176	Thomas Rivers
Q1236198	Michael J. Kopetski
Q1237268	Harry Bartow Hawes
Q1237526	Paul Ranous Greever
Q1237628	Ellsworth Raymond Bathrick
Q1237700	Dominick V. Daniels
Q123799	Norton Strange Townshend
Q1238994	Don C. Edwards
Q1239044	Don Cazayoux
Q1239102	Don Edwards
Q1239153	Don Fuqua
Q1239240	Don L. Short
Q1239590	Don Young
Q1239703	Donald B. Partridge
Q1239740	Donald C. Bruce
Q1239748	Donald C. McRuer
Q1239792	Donald D. Clancy
Q1239869	Donald G. Brotzman
Q1239913	Donald H. Clausen
Q1239924	Donald H. McLean
Q1239926	Donald H. Magnuson
Q1239941	Donald Hayworth
Q1239957	Donald J. Albosta
Q1239977	Thomas R. Ross
Q1239987	Donald J. Irwin
Q1240034	Donald Lester Jackson
Q1240103	Donaldus Milford Payne
Q1240121	Don Manzullo
Q1240134	Donald McGinley
Q1240224	Donald Payne, Jr.
Q1240249	Donald Ray Matthews
Q1240431	Donald William Nicholson
Q1240457	Donald W. Riegle, Jr.
Q1240668	George Sykes
Q1240824	James Butler Hare
Q1240970	Alfred William Lamb
Q12410052	Silas Talbot
Q1241101	Silas Adams
Q1242286	Roland Jones
Q1242725	Timothy Davis
Q1244005	Ithamar Sloan
Q1244493	Edward Gay Rohrbough
Q1244688	John Bacon
Q1245086	Samuel Cushman
Q1245845	Samuel C. Fessenden
Q1246445	Joseph Peirce
Q1246677	Alonzo Nute
Q1247034	Marshall Johnson Wellborn
Q1247276	Mendel Jackson Davis
Q1247393	Joseph M. Root
Q1247703	John Harris Baker
Q1247862	Theodore Gourdin
Q1247941	John William Jones
Q1248070	Earl Cory Michener
Q1248142	Homer Jones
Q1248548	William Patterson Borland
Q1248612	Olger B. Burtness
Q1248838	Harry Sauthoff
Q1249016	Orlando Hubbs
Q1249126	Joel Pritchard
Q1249175	Sam Gejdenson
Q1249489	Evan Shelby Alexander
Q1249550	William Wirt Culbertson
Q1249830	Iris Faircloth Blitch
Q1250070	John J. Jenkins
Q1250079	James Moore Wayne
Q1250396	Dorrance Kirtland
Q1250493	Dorsey W. Shackleford
Q1250644	Harry Cage
Q1250738	John McQueen
Q1251700	Doug Barnard, Jr.
Q1251707	Doug Bereuter
Q1251770	Henry M. Youmans
Q125182	Robert Bullock
Q1251831	Doug Ose
Q1251997	Douglas Applegate
Q1252320	Douglas H. Bosco
Q1252442	Douglas R. Stringfellow
Q1252873	Eric Fingerhut
Q1252944	William T. Nuckolls
Q1253002	Dow H. Drukker
Q1253479	Samuel Brenton
Q1253601	Jack Z. Anderson
Q1253988	John H. Brockway
Q1255439	Pryor Lea
Q1255769	J. Lincoln Newhall
Q1255950	Thomas Settle
Q1256202	John R. French
Q125640	Stephen Pace
Q1256833	George A. Bicknell
Q1256903	William Francis Rhea
Q1257005	Walter E. Powell
Q1257406	Orie Solomon Ware
Q1257692	John Q. Tilson
